MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
3c:58:5d:62:d2:66,TMOBILE-D261,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],2024-11-11 23:57:17,6.0,2437.0,-85,31.89781587724287,-102.30371097922152,843.588623046875,3.790092468261719,,,WIFI
28:38:5c:e2:a8:e3,XPERT4U,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][MFPC],2024-11-11 23:57:17,157.0,5785.0,-85,31.89781587724287,-102.30371097922152,843.588623046875,3.790092468261719,,,WIFI
e8:d3:eb:52:b4:a4,,[RSN-SAE-CCMP],2024-11-11 23:57:17,116.0,5580.0,-83,31.89781587724287,-102.30371097922152,843.588623046875,3.790092468261719,,,WIFI
e8:d3:eb:52:b4:a3,,[RSN-SAE-CCMP],2024-11-11 23:57:17,6.0,2437.0,-79,31.89781587724287,-102.30371097922152,843.588623046875,3.790092468261719,,,WIFI
d4:3f:32:12:cd:c6,Rowdy,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:17,1.0,2412.0,-84,31.89781587724287,-102.30371097922152,843.588623046875,3.790092468261719,,,WIFI
00:21:a4:31:c9:42,easttowerswfs5,[ESS],2024-11-11 23:57:17,60.0,5300.0,-82,31.89781587724287,-102.30371097922152,843.588623046875,3.790092468261719,,,WIFI
8a:9b:e8:2f:e6:68,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:17,6.0,2437.0,-85,31.89781587724287,-102.30371097922152,843.588623046875,3.790092468261719,,,WIFI
e8:d3:eb:52:b4:a7,Tiff,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:17,116.0,5580.0,-83,31.89781587724287,-102.30371097922152,843.588623046875,3.790092468261719,,,WIFI
82:5b:65:2c:f2:43,[LG_Oven]f243,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-11-11 23:57:18,11.0,2462.0,-84,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
d4:3f:32:12:cd:c4,,[RSN-SAE-CCMP],2024-11-11 23:57:18,100.0,5500.0,-89,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
90:50:ca:57:fc:f8,CGNM-FCF8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],2024-11-11 23:57:18,6.0,2437.0,-81,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
ce:22:26:df:b1:cc,Hot Wheels,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-11-11 23:57:18,1.0,2412.0,-80,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
9a:0b:7c:83:fe:60,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:18,157.0,5785.0,-88,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
d4:3f:32:12:cd:ca,,[ESS],2024-11-11 23:57:18,100.0,5500.0,-91,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
54:65:de:67:e7:20,ARRIS-E722,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-11-11 23:57:18,11.0,2462.0,-82,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
90:a7:c1:2d:ff:50,Baker devices,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:18,1.0,2412.0,-84,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
00:21:a4:31:c9:42,easttowerswfs5,[ESS],2024-11-11 23:57:18,60.0,5300.0,-77,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
d4:3f:32:12:cd:c7,Rowdy,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:18,100.0,5500.0,-89,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
90:50:ca:da:fd:18,CGNM-FD18,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],2024-11-11 23:57:18,1.0,2412.0,-85,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
74:d7:ca:b6:49:59,TOYOTA 4Runner_4959cab674d7,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:18,1.0,2412.0,-84,31.897816362263733,-102.30361754608656,843.204833984375,3.790092468261719,,,WIFI
e8:d3:eb:52:b4:a6,Tiff,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:22,6.0,2437.0,-78,31.89784305809976,-102.30320418883475,840.54248046875,3.790092468261719,,,WIFI
